model_name,test_type,loss,acc,f1_macro,precision_macro,recall_macro,auc,drop_from_clean
resnet50,clean,0.24658990268707276,0.9803,0.9802967211773711,0.9806199198434447,0.9803,0.99784968,0.0
resnet50,noise,0.25077645556926725,0.97815,0.9781491735471164,0.9782223502593708,0.97815,0.9969966699999999,0.002147547630254709
resnet50,blur,0.24401573672294616,0.9822,0.9821993376373535,0.9822717813319335,0.9822,0.9978076,-0.0019026164599823536
resnet50,dark,0.28409706444740296,0.95745,0.9574415988652201,0.9578114925326187,0.95745,0.9901874700000001,0.022855122312151033
resnet50,jpeg,0.24698550324440002,0.98035,0.9803470508293151,0.9806385032615828,0.98035,0.9977055899999998,-5.0329651943958886e-05
