model_name,epoch,train_loss,val_loss,val_acc,val_f1_macro,val_precision_macro,val_recall_macro,val_auc,lr,epoch_time_sec
efficientnet_b0,1,0.6485678479658337,0.3301455469608307,0.9333,0.9332931952388464,0.9334768759044441,0.9333,0.98092364,0.0001,522.8010654449463
efficientnet_b0,2,0.429640973710149,0.27160675015449526,0.9657,0.9656966379274833,0.9658826446320015,0.9657,0.99415108,0.0001,314.30246472358704
efficientnet_b0,3,0.4056102740677712,0.25871555461883544,0.9714,0.97139574254232,0.9716808198929314,0.9714,0.9960627000000001,0.0001,318.99719190597534
efficientnet_b0,4,0.38900360058606265,0.25205081610679625,0.9764,0.9763953734932047,0.9767737906518711,0.9763999999999999,0.99746364,0.0001,313.78491592407227
efficientnet_b0,5,0.37699788158089137,0.24459342970848083,0.9808,0.9807985130368495,0.9809489787556593,0.9808,0.9978412400000001,0.0001,315.8867745399475
efficientnet_b0,6,0.3723017530592627,0.2540508310556412,0.9764,0.9763930161098859,0.9769644206167811,0.9764,0.9974698400000002,0.0001,313.09336042404175
efficientnet_b0,7,0.36671149406375453,0.24629050350189208,0.9815,0.9814993559925822,0.9815670533965148,0.9815,0.9982879599999999,0.0001,312.53975772857666
efficientnet_b0,8,0.36210902757508145,0.26684892656803133,0.9823,0.9822999913269957,0.9823009453098528,0.9823,0.9979357600000001,0.0001,316.8781883716583
efficientnet_b0,9,0.3589741916132092,0.23504087853431702,0.9834,0.9833999760959655,0.9834027844000381,0.9834,0.9983754,0.0001,316.3244616985321
efficientnet_b0,10,0.3587199091476787,0.2553297658443451,0.9793,0.9792972620629078,0.9795536838987824,0.9793000000000001,0.9971816,0.0001,316.1754536628723
efficientnet_b0,11,0.3595034010909699,0.2504730505466461,0.9844,0.9843993609978265,0.9844793771011442,0.9843999999999999,0.9978824000000002,0.0001,317.078825712204
efficientnet_b0,12,0.3566687155573246,0.24195674974918366,0.9862,0.9861999447997791,0.9862077793244692,0.9862,0.9982278,0.0001,315.7839460372925
efficientnet_b0,13,0.35151630884319923,0.24770491847991943,0.984,0.9839990265007723,0.9841178149114369,0.984,0.99794516,0.0001,315.2260580062866
efficientnet_b0,14,0.34952360996777776,0.257636074256897,0.9814,0.9813976665232886,0.9816416685235985,0.9814,0.99811328,0.0001,320.81884837150574
efficientnet_b0,15,0.34835526511963366,0.23315127668380736,0.9852,0.9851999851999852,0.9852019408077632,0.9852,0.99712236,5e-05,319.0895631313324
