model_name,epoch,train_loss,val_loss,val_acc,val_f1_macro,val_precision_macro,val_recall_macro,val_auc,lr,epoch_time_sec
convnext_tiny,1,0.41013300943771996,0.2777213758468628,0.9574,0.9573357715639432,0.9601710395591758,0.9574,0.9966738,5e-05,522.7214291095734
convnext_tiny,2,0.38026142911116284,0.23674081352949142,0.9792,0.9791986013139524,0.9793289203064056,0.9792000000000001,0.99726814,5e-05,492.82392597198486
convnext_tiny,3,0.3710657482981682,0.24693798550367355,0.9756,0.9755976563989206,0.9757827767115015,0.9756,0.9959510400000001,5e-05,493.0268979072571
convnext_tiny,4,0.36328890146017073,0.25856735142469406,0.9669,0.9668719468332978,0.9684868774909123,0.9669,0.9980716399999998,5e-05,492.6527945995331
convnext_tiny,5,0.35785537684758506,0.22912185119390488,0.9823,0.9822998299013653,0.9823185403246901,0.9823,0.9977999200000001,5e-05,492.66871094703674
convnext_tiny,6,0.35678737186193465,0.2265607585787773,0.9844,0.9843999375997504,0.9844077505240083,0.9844,0.9984273199999999,5e-05,492.0988235473633
convnext_tiny,7,0.35505334058205285,0.23383790916204453,0.9802,0.9801976039100732,0.9804325293442027,0.9802,0.99849556,5e-05,492.47088742256165
convnext_tiny,8,0.35141699260075887,0.22388275375366212,0.9864,0.9863998036131643,0.9864280960868299,0.9863999999999999,0.9976386,5e-05,492.7852864265442
convnext_tiny,9,0.35103323069810866,0.22781505150794984,0.9838,0.9837992942972595,0.9838843120025234,0.9838,0.9983004200000001,5e-05,492.4174175262451
convnext_tiny,10,0.35021526116132734,0.22947984184026718,0.9848,0.984799556755075,0.98485655366842,0.9848,0.9975746799999999,5e-05,491.93014001846313
convnext_tiny,11,0.34749894222418465,0.2228281278014183,0.9866,0.9865999656959121,0.9866049828350243,0.9865999999999999,0.99779056,5e-05,492.85803961753845
convnext_tiny,12,0.3432136490265528,0.2308409314274788,0.9843,0.9842995589746115,0.984354422062863,0.9843,0.9966215599999999,5e-05,492.6907289028168
convnext_tiny,13,0.3463798883756002,0.22675542441606522,0.9848,0.9847999391997568,0.9848077569241108,0.9848,0.99791372,5e-05,492.9006209373474
convnext_tiny,14,0.3461225355188052,0.22477716453075408,0.985,0.9849996249906248,0.9850485048504851,0.985,0.9976607599999999,2.5e-05,492.16320395469666
convnext_tiny,15,0.3363250028014183,0.22482567851543425,0.9866,0.9865996376542021,0.9866526363491475,0.9866,0.99774316,2.5e-05,493.80893898010254
