model_name,epoch,train_loss,val_loss,val_acc,val_f1_macro,val_precision_macro,val_recall_macro,val_auc,lr,epoch_time_sec
efficientnetv2_rw_s,1,0.5387244579474131,0.4677831006526947,0.9475,0.9474485158364798,0.9492605442503866,0.9475,0.98985976,5e-05,833.5194754600525
efficientnetv2_rw_s,2,0.4068007743941413,0.3415817266941071,0.9741,0.9740978550433761,0.9742570929194586,0.9741,0.9958699599999999,5e-05,815.0348560810089
efficientnetv2_rw_s,3,0.3812700140343772,0.27627753474712374,0.9761,0.9760941074365421,0.9765698788377388,0.9761,0.9958884400000001,5e-05,809.2468852996826
efficientnetv2_rw_s,4,0.36725206019613477,0.26010027003288266,0.9735,0.9734856056004244,0.9745304713904527,0.9735,0.99749252,5e-05,773.6127614974976
efficientnetv2_rw_s,5,0.36157328164577485,0.23943324658870696,0.9797,0.9796974075619715,0.9799451367780607,0.9797,0.9974534399999999,5e-05,768.3032836914062
efficientnetv2_rw_s,6,0.35661674262417686,0.245924551987648,0.978,0.9779931831684183,0.9785929958655972,0.978,0.9978640400000001,5e-05,763.6918964385986
efficientnetv2_rw_s,7,0.3498512964963913,0.2350138597726822,0.9815,0.981497553051391,0.9817548483147585,0.9815,0.9982394400000001,5e-05,764.954519033432
efficientnetv2_rw_s,8,0.3474611714495553,0.23603947398662567,0.9837,0.9836979183871989,0.9839471808620971,0.9837,0.9984711199999999,5e-05,765.2903544902802
efficientnetv2_rw_s,9,0.3478152204434077,0.23308776788711547,0.9846,0.984598639135754,0.9847713375815548,0.9845999999999999,0.9985771600000001,5e-05,802.1388247013092
efficientnetv2_rw_s,10,0.3435360062890583,0.23876315200328826,0.98,0.9799957358910625,0.9804096164553745,0.98,0.9977160399999999,5e-05,790.34849858284
efficientnetv2_rw_s,11,0.3438270807451672,0.23923896465301514,0.9803,0.9802963018128872,0.9806608609479652,0.9803,0.99772172,5e-05,810.92143034935
efficientnetv2_rw_s,12,0.3412750319454405,0.23588402860164642,0.9829,0.9828978162221533,0.9831467720452899,0.9829,0.9965325599999999,2.5e-05,807.9575538635254
efficientnetv2_rw_s,13,0.3396052156713274,0.2332760943174362,0.9831,0.9830976064520496,0.9833738022565501,0.9831,0.99808148,2.5e-05,819.3617067337036
efficientnetv2_rw_s,14,0.3358196812205844,0.23022942039966585,0.9856,0.9855991682079557,0.9857122189510665,0.9856,0.9976674799999999,2.5e-05,823.2318184375763
efficientnetv2_rw_s,15,0.3355986640877194,0.23010130882263183,0.9866,0.9865992259712921,0.9867124500444583,0.9865999999999999,0.99821232,2.5e-05,829.105211019516
