model_name,epoch,train_loss,val_loss,val_acc,val_f1_macro,val_precision_macro,val_recall_macro,val_auc,lr,epoch_time_sec
resnet50,1,0.476176180189229,0.313475760269165,0.9463,0.9462703277885212,0.9472880593230446,0.9462999999999999,0.98911864,0.0001,421.739305973053
resnet50,2,0.4166303423536706,0.293757154417038,0.9567,0.9566648009845997,0.9581886549398997,0.9567,0.9939372000000001,0.0001,408.63317012786865
resnet50,3,0.40309926804425367,0.276330362200737,0.9677,0.9676907721614371,0.9682349303137876,0.9677,0.9953057200000001,0.0001,407.8115482330322
resnet50,4,0.39301726317952573,0.2883204864025116,0.9683,0.9682869313615448,0.9690732015024286,0.9682999999999999,0.99542484,0.0001,408.2802355289459
resnet50,5,0.38287967950063273,0.26931153311729433,0.9705,0.9704880768879435,0.9712615775597997,0.9705,0.99645636,0.0001,408.3660147190094
resnet50,6,0.37916583962113215,0.26535169494152067,0.9745,0.9744937129553064,0.9749682997448164,0.9744999999999999,0.99676352,0.0001,409.2490289211273
resnet50,7,0.37357159016142527,0.26418395895957947,0.9779,0.9778980052949778,0.9780725842028972,0.9779,0.99723492,0.0001,407.8218414783478
resnet50,8,0.3690059121862414,0.2557181247472763,0.9785,0.9784990915866195,0.9785808801687486,0.9784999999999999,0.99741436,0.0001,408.9608356952667
resnet50,9,0.3656608395246659,0.2799555562734604,0.9721,0.9720853612843111,0.973092377494728,0.9721,0.99673876,0.0001,408.1507685184479
resnet50,10,0.363029960373345,0.26136728005409243,0.9787,0.9786953962881839,0.9791141270868888,0.9786999999999999,0.99743284,0.0001,409.25131916999817
resnet50,11,0.36348894054062164,0.2597911018610001,0.9737,0.973688285761704,0.974545088876074,0.9737,0.99688244,0.0001,409.5942323207855
resnet50,12,0.35842561561238034,0.25400274186134336,0.9785,0.9784956025657687,0.9788917142666015,0.9784999999999999,0.9977467999999999,0.0001,409.9672040939331
resnet50,13,0.35440625325587194,0.24616093142032625,0.9804,0.9803965843008486,0.9807350531026104,0.9803999999999999,0.99794552,0.0001,409.1488265991211
resnet50,14,0.35668070414560615,0.28723290314674377,0.9715,0.9714823187524497,0.9726722460771612,0.9715,0.99670636,0.0001,410.19620656967163
resnet50,15,0.3530380916364417,0.25803445966243743,0.9755,0.9754912452277078,0.9761803855821352,0.9755,0.99694716,0.0001,410.3665704727173
